Schuljahr,Schulform,Amtlicher Gemeindeschlüssel,Verwaltungsbezirk,Schulnummer,Amtliche Bezeichnung 1,Amtliche Bezeichnung 2,Amtliche Bezeichnung 3,Straße und Hausnummer,Postleitzahl,Ort,Rechtsstatus,Telefonnummer Vorwahl,Telefonnummer Durchwahl,Faxnummer Vorwahl,Faxnummer Durchwahl,Offizielle E-Mail-Adresse,Anzahl,Sozialindex,latitude,longitude,found_address
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,110784,Michaelschule,Städt. Gem. Grundschule,,Rheinbacher Str. 7,53115,Bonn,Öffentlich,0228,777218,0228,777219,110784@schule.nrw.de,200,2,50.730722,7.082659,"7, Rheinbacher Straße, Weststadt, Stadtbezirk Bonn, Bonn, Nordrhein-Westfalen, 53115, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,110796,Jahnschule,Städt. Gem. Grundschule,,Herseler Str. 7,53117,Bonn,Öffentlich,0228,777030,0228,777035,110796@schule.nrw.de,235,8,50.7561187,7.0843086,"Jahnschule Bonn, 7, Herseler Straße, Graurheindorf, Stadtbezirk Bonn, Bonn, Nordrhein-Westfalen, 53117, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,110802,Grundschulverbund,Marienschule-Nordschule,Kath. Grundschule der Stadt Bonn,Heerstr. 92-94,53111,Bonn,Öffentlich,0228,777510,0228,777505,110802@schule.nrw.de,370,4,50.7391822,7.0914305,"Grundschulverbund Marienschule-Nordschule (Standort Marienschule), 92-94, Heerstraße, Nordstadt, Stadtbezirk Bonn, Bonn, Nordrhein-Westfalen, 53111, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,110814,Münsterschule,Gem. Grundschule der Stadt Bonn,,Maarflach 7-13,53113,Bonn,Öffentlich,0228,28970757,0228,85429438,110814@schule.nrw.de,195,2,50.7309073,7.1062359,"Münsterschule, 7-13, Maarflach, Südstadt, Stadtbezirk Bonn, Bonn, Nordrhein-Westfalen, 53113, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,110838,Nikolausschule,Städt. Kath. Grundschule,,Pützstr. 6-8,53129,Bonn,Öffentlich,0228,772245,,,110838@schule.nrw.de,215,4,50.7124807,7.1071965,"6-8, Pützstraße, Kessenich, Stadtbezirk Bonn, Bonn, Nordrhein-Westfalen, 53129, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,110851,Paulusschule,Städt. Kath. Grundschule,,Hohe Str. 11,53119,Bonn,Öffentlich,0228,777820,,,110851@schule.nrw.de,190,6,50.7416946,7.0616106,"11, Hohe Straße, Tannenbusch, Stadtbezirk Bonn, Bonn, Nordrhein-Westfalen, 53119, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,110875,Erich Kästner-Schule,Städt. Gem. Grundschule,,Karl-Barth-Str. 87,53129,Bonn,Öffentlich,0228,775116,0228,237802,110875@schule.nrw.de,215,3,50.7101047,7.1158699,"87, Karl-Barth-Straße, Kessenich, Stadtbezirk Bonn, Bonn, Nordrhein-Westfalen, 53129, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,110887,Clemens-August-Schule,Städt. Kath. Grundschule,,Sternenburgstr. 23,53115,Bonn,Öffentlich,0228,773605,,,110887@schule.nrw.de,205,3,50.7219667,7.0905781,"Clemens-August-Schule, 23, Sternenburgstraße, Poppelsdorf, Stadtbezirk Bonn, Bonn, Nordrhein-Westfalen, 53115, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,110905,Kettelerschule,Gem. Grundschule der Stadt Bonn,- Primarstufe -,Siemensstr. 248,53121,Bonn,Öffentlich,0228,772213,0228,768864,110905@schule.nrw.de,255,5,50.7367428,7.0485654,"Kettelerschule - Inklusive Gemeinschaftsgrundschule, 248, Siemensstraße, Dransdorf, Stadtbezirk Bonn, Bonn, Nordrhein-Westfalen, 53121, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,110942,Bernhardschule,Städt. Kath. Grundschule Bonn-Auerberg,,Kopenhagener Str. 14-16,53117,Bonn,Öffentlich,0228,777830,0228,777834,110942@schule.nrw.de,380,6,50.7590998,7.0740669,"Bernhardschule, 14-16, Kopenhagener Straße, Auerberg, Stadtbezirk Bonn, Bonn, Nordrhein-Westfalen, 53117, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,110966,Matthias-Claudius-Schule,Städt. Gem. Grundschule,,Magdalenenstr. 6,53121,Bonn,Öffentlich,0228,777042,0228,625093,110966@schule.nrw.de,350,5,50.7262621,7.0731222,"Matthias-Claudius-Schule, 6, Magdalenenstraße, Endenich, Stadtbezirk Bonn, Bonn, Nordrhein-Westfalen, 53121, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,110978,Karlschule,Gemeinschaftsgrundschule,der Stadt Bonn,Dorotheenstr. 126,53111,Bonn,Öffentlich,0228,777395,0228,694537,110978@schule.nrw.de,170,8,50.741403,7.0876564,"126, Dorotheenstraße, Nordstadt, Stadtbezirk Bonn, Bonn, Nordrhein-Westfalen, 53111, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,110991,Elsa-Brändström-Schule,Städt. Ev. Grundschule,,Hohe Str. 11,53119,Bonn,Öffentlich,0228,777829,0228,777825,110991@schule.nrw.de,210,9,50.7416946,7.0616106,"11, Hohe Straße, Tannenbusch, Stadtbezirk Bonn, Bonn, Nordrhein-Westfalen, 53119, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,111004,Waldschule,Städt. Gem. Grundschule,,Don-Bosco-Str. 1,53127,Bonn,Öffentlich,0228,777535,,,111004@schule.nrw.de,145,2,50.6991296,7.0996505,"1, Don-Bosco-Straße, Venusberg, Stadtbezirk Bonn, Bonn, Nordrhein-Westfalen, 53127, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,111030,Laurentiusschule,Städt. Kath. Grundschule Lessenich,,Meßdorfer Str. 340,53123,Bonn,Öffentlich,0228,777850,0228,777854,111030@schule.nrw.de,245,3,50.7230091,7.0391397,"340, Meßdorfer Straße, Meßdorf, Lessenich/Meßdorf, Stadtbezirk Bonn, Bonn, Nordrhein-Westfalen, 53123, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,111041,Kreuzbergschule,Städt. Gem. Grundschule Lengsdorf,,Schulstr. 29,53127,Bonn,Öffentlich,0228,7760990,0228,7760991,111041@schule.nrw.de,185,3,50.7110461,7.0744589,"Kreuzbergschule, 29, Schulstraße, Lengsdorf, Hardtberg, Bonn, Nordrhein-Westfalen, 53127, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,111053,Rochusschule,Städt. Kath. Grundschule Duisdorf,,Rochusstr. 179,53123,Bonn,Öffentlich,0228,777455,0228,777460,111053@schule.nrw.de,280,4,50.714885,7.0502526,"Rochusschule, 179, Rochusstraße, Duisdorf, Hardtberg, Bonn, Nordrhein-Westfalen, 53123, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,111077,Städt. Kath. Grundschule Holzlar,,,Hauptstr. 105,53229,Bonn,Öffentlich,0228,7787920,0228,7787922,111077@schule.nrw.de,285,2,50.7416741,7.179613,"105, Hauptstraße, Heidebergen, Holzlar, Bonn-Beuel, Niederholtorf, Bonn, Nordrhein-Westfalen, 53229, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,111089,Städt. Kath. Grundschule Buschdorf,,,Von-den-Driesch-Str. 2,53117,Bonn,Öffentlich,0228,7789100,0228,7789105,111089@schule.nrw.de,210,4,50.7613316,7.0496067,"Katholische Grundschule Buschdorf, 2, Von-den-Driesch-Straße, Buschdorf, Stadtbezirk Bonn, Bonn, Nordrhein-Westfalen, 53117, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,111090,Finkenhofschule,Städt. Gem. Grundschule Duisdorf,,Ossietzkystr. 34,53123,Bonn,Öffentlich,0228,777840,0228,777845,111090@schule.nrw.de,205,4,50.7066829,7.0521096,"Finkenhofschule, 34, Ossietzkystraße, Duisdorf, Hardtberg, Bonn, Nordrhein-Westfalen, 53123, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,111107,Ludwig-Richter-Schule,Städt. Gem. Grundschule Duisdorf,,Ludwig-Richter-Str. 29,53123,Bonn,Öffentlich,0228,777980,0228,777985,111107@schule.nrw.de,200,6,50.7170165,7.0601992,"29, Ludwig-Richter-Straße, Duisdorf, Hardtberg, Bonn, Nordrhein-Westfalen, 53123, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,111119,Arnold-von-Wied-Schule,Städt. Gem. Grundschule Beuel,,Vilicher Str. 2,53225,Bonn,Öffentlich,0228,476695,0228,465445,111119@schule.nrw.de,185,2,50.7482735,7.1177856,"Arnold-von-Wied-Schule, 2, Vilicher Straße, Vilich-Rheindorf, Schwarzrheindorf/Vilich-Rheindorf, Bonn-Beuel, Bonn, Nordrhein-Westfalen, 53225, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,111132,Städt. Gem. Grundschule Heiderhof,,,Weißdornweg 139,53177,Bonn,Öffentlich,0228,321186,0228,328977,111132@schule.nrw.de,295,5,50.6624317,7.1516989,"139, Weißdornweg, Heiderhof, Bad Godesberg, Bonn, Nordrhein-Westfalen, 53177, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,111144,Adelheidisschule,Städt. Gem. Grundschule,,Käsbergstr. 1,53225,Bonn,Öffentlich,0228,7787010,0228,7787016,111144@schule.nrw.de,280,2,50.7538612,7.1275463,"1, Käsbergstraße, Vilich, Bonn-Beuel, Bonn, Nordrhein-Westfalen, 53225, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,111168,Josefschule,Städt. Kath. Grundschule Beuel,,Agnesstr. 1,53225,Bonn,Öffentlich,0228,946730,0228,9467316,111168@schule.nrw.de,295,3,50.737927,7.1157999,"Josefschule, 1, Agnesstraße, Beuel-Mitte, Bonn-Beuel, Bonn, Nordrhein-Westfalen, 53225, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,111170,Engelsbachschule,Katholische Grundschule,der Stadt Bonn,Saalestr. 27,53127,Bonn,Öffentlich,0228,283695,0228,285013,111170@schule.nrw.de,200,2,50.6962882,7.0884185,"27, Saalestraße, Ippendorf, Stadtbezirk Bonn, Bonn, Nordrhein-Westfalen, 53127, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,111181,Paul-Gerhardt-Schule,Städt. Gem. Grundschule Beuel,,Neustr. 45,53225,Bonn,Öffentlich,0228,946720,0228,9467214,111181@schule.nrw.de,260,4,50.7374102,7.1268968,"Gemeinschaftsgrundschule Paul-Gerhardt, 45, Neustraße, Beuel-Mitte, Bonn-Beuel, Bonn, Nordrhein-Westfalen, 53225, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,111200,Gotenschule,Gem. Grundschule der Stadt Bonn,,Neckarstr. 39,53175,Bonn,Öffentlich,0228,777580,0228,777584,111200@schule.nrw.de,290,8,50.6969522,7.1553805,"Gotenschule, 39, Neckarstraße, Plittersdorf, Bad Godesberg, Bonn, Nordrhein-Westfalen, 53175, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,111211,Lyngsbergschule,Kath. Grundschule der Stadt Bonn,,Lindstr. 14,53177,Bonn,Öffentlich,0228,777952,0228,777955,111211@schule.nrw.de,195,7,50.6648823,7.1700192,"Lyngsbergschule, 14, Lindstraße, Lannesdorf, Bad Godesberg, Bonn, Nordrhein-Westfalen, 53177, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,111223,Beethovenschule,Städt. Kath. Grundschule,,Beethovenallee 73,53173,Bonn,Öffentlich,0228,777950,0228,777944,111223@schule.nrw.de,265,3,50.6908203,7.1588452,"Beethovenschule, 73, Beethovenallee, Villenviertel, Bad Godesberg, Bonn, Nordrhein-Westfalen, 53173, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,111235,Servatiusschule,Städt. Kath. Grundschule,,Annaberger Str. 186,53175,Bonn,Öffentlich,0228,310870,0228,310614,111235@schule.nrw.de,175,4,50.6963682,7.1247639,"186, Annaberger Straße, Friesdorf, Bad Godesberg, Bonn, Nordrhein-Westfalen, 53175, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,111259,Montessorischule,Städt. Gem. Grundschule,,Quirinstr. 16,53129,Bonn,Öffentlich,0228,777920,0228,777916,111259@schule.nrw.de,270,2,50.703044,7.112296,"Montessorischule, 16, Quirinstraße, Dottendorf, Stadtbezirk Bonn, Bonn, Nordrhein-Westfalen, 53129, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,111260,Paul-Klee-Schule,Gem. Grundschule der Stadt Bonn,,Rheinallee 26,53173,Bonn,Öffentlich,0228,355097,0228,366898,111260@schule.nrw.de,190,5,50.6870702,7.1633182,"Paul-Klee-Schule, 26, Rheinallee, Villenviertel, Bad Godesberg, Bonn, Nordrhein-Westfalen, 53173, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,111272,Robert-Koch-Schule,Städt. Gem. Grundschule,,Max-Planck-Str. 15,53177,Bonn,Öffentlich,0228,777610,0228,777615,111272@schule.nrw.de,310,8,50.6736818,7.1691766,"15, Max-Planck-Straße, Pennenfeld, Bad Godesberg, Bonn, Nordrhein-Westfalen, 53177, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,111284,Bodelschwinghschule,Städt. Ev. Grundschule,,Am Woltersweiher 10,53175,Bonn,Öffentlich,0228,777880,0228,777884,111284@schule.nrw.de,305,5,50.6946495,7.1297069,"10, Am Woltersweiher, Friesdorf, Bad Godesberg, Bonn, Nordrhein-Westfalen, 53175, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,111296,Andreasschule,Städt. Gem. Grundschule,,Mendelssohnstr. 18,53179,Bonn,Öffentlich,0228,7786990,0228,7786992,111296@schule.nrw.de,210,6,50.6773245,7.1724482,"Andreasschule, 18, Mendelssohnstraße, Rüngsdorf, Bad Godesberg, Bonn, Nordrhein-Westfalen, 53179, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,111302,Burgschule,Städt. Kath. Grundschule,,Winterstr. 53,53177,Bonn,Öffentlich,0228,777910,0228,777907,111302@schule.nrw.de,200,6,50.6830862,7.147319,"Burgschule, 53, Winterstraße, Schweinheim, Bad Godesberg, Bonn, Nordrhein-Westfalen, 53177, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,111314,Katholische Grundschule Am Domhof,Grundschule der Stadt Bonn,- Primarstufe -,Friedrich-Bleek-Str. 2-5,53179,Bonn,Öffentlich,0228,777970,0228,777975,111314@schule.nrw.de,325,5,50.6614331,7.18549,"Friedrich-Bleek-Straße, Mehlem, Bad Godesberg, Bonn, Nordrhein-Westfalen, 53179, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,111338,Donatusschule,Kath. Grundschule der Stadt Bonn,,Donatusstr. 12,53175,Bonn,Öffentlich,0228,777923,0228,777928,111338@schule.nrw.de,215,5,50.6989943,7.1610061,"12, Donatusstraße, Amerikanische Siedlung, Plittersdorf, Bad Godesberg, Bonn, Nordrhein-Westfalen, 53175, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,111340,Ennertschule,Städt. Gem. Grundschule,Beuel-Küdinghoven,Kirchstr. 56,53227,Bonn,Öffentlich,0228,7786980,,,111340@schule.nrw.de,230,3,50.8123224,7.1605426,"56, Kirchstraße, Troisdorf-Mitte, Troisdorf, Rhein-Sieg-Kreis, Nordrhein-Westfalen, 53840, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,111363,Marktschule,Städt. Gem. Grundschule Beuel,,Marktstr. 47,53229,Bonn,Öffentlich,0228,948620,,,111363@schule.nrw.de,400,5,50.7452287,7.1543126,"47, Marktstraße, Bechlinghoven, Pützchen-Bechlinghoven, Bonn-Beuel, Bonn, Nordrhein-Westfalen, 53229, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,111375,Gottfried-Kinkel-Schule,Städt. Gem. Grundschule Oberkassel,,Kastellstr. 31,53227,Bonn,Öffentlich,0228,777930,0228,777934,111375@schule.nrw.de,295,2,50.7119126,7.1640963,"31, Kastellstraße, Oberkassel, Bonn-Beuel, Bonn, Nordrhein-Westfalen, 53227, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,111387,Schlossbachschule,Städt. Kath. Grundschule,,Herzogsfreudenweg 53,53125,Bonn,Öffentlich,0228,252434,0228,252434,111387@schule.nrw.de,395,2,50.6822841,7.0672379,"Schlossbachschule, 53-55, Herzogsfreudenweg, Röttgen, Stadtbezirk Bonn, Bonn, Nordrhein-Westfalen, 53125, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,184895,Städt. Gem. Grundschule Om Berg,,,Pützhecke 10,53229,Bonn,Öffentlich,0228,7787511,0228,7787516,184895@schule.nrw.de,265,4,50.7377168,7.1981929,"Gemeinschaftsgrundschule Om Berg, 10, Pützhecke, Gielgen, Hoholz, Bonn-Beuel, Niederholtorf, Bonn, Nordrhein-Westfalen, 53229, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,185681,Städt. Gem. Grundschule Medinghoven,,,Stresemannstr. 26,53123,Bonn,Öffentlich,0228,777860,0228,777864,185681@schule.nrw.de,165,9,50.7094184,7.0321061,"Grundschule Medinghoven, 26, Stresemannstraße, Medinghoven, Duisdorf, Hardtberg, Bonn, Nordrhein-Westfalen, 53123, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,191267,Till-Eulenspiegel-Schule,Gem. Grundschule der Stadt Bonn,,Renoisstr. 1a,53129,Bonn,Öffentlich,0228,773606,,,191267@schule.nrw.de,210,4,50.7215934,7.0992898,"Till-Eulenspiegel-Schule, 1a, Renoisstraße, Kessenich, Stadtbezirk Bonn, Bonn, Nordrhein-Westfalen, 53129, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,191590,Schule Brüser Berg,Gemeinschaftsgrundschule,der Stadt Bonn,Edisonallee 9,53125,Bonn,Öffentlich,0228,7787070,0228,7787076,191590@schule.nrw.de,200,5,50.6962283,7.055007,"GGS Brüser Berg, 9, Edisonallee, Brüser Berg, Hardtberg, Bonn, Nordrhein-Westfalen, 53125, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,194610,Independent Bonn International School,Staatlich anerkannte Ersatzschule,der Primarstufe,Tulpenbaumweg 42,53177,Bonn,Privat,0228,323166,0228,323958,194610@schule.nrw.de,145,,50.6609538,7.1527145,"42, Tulpenbaumweg, Heiderhof, Bad Godesberg, Bonn, Nordrhein-Westfalen, 53177, Deutschland"
2024/25,Grundschule,05314000,Krfr. Stadt Bonn,194621,Ecole Francaise de Gaulle-Adenauer,Staatl. anerkannte Grundschule des,Deutsch-Französischen Schulvereins e.V.,Meckenheimer Str. 45,53179,Bonn,Privat,0228,9538031,0228,9538030,194621@schule.nrw.de,105,,50.658737,7.1890647,"École de Gaulle-Adenauer, 45, Meckenheimer Straße, Mehlem, Bad Godesberg, Bonn, Nordrhein-Westfalen, 53179, Deutschland"
2024/25,Grundschule,05315000,Krfr. Stadt Köln,100078,LOGOS-Grundschule,Russisch-Orthodoxe Bekenntnisgrundschule,,Arnsberger Str. 11,51065,Köln,Privat,0221,16908487,,,100078@schule.nrw.de,85,,50.9538798,7.0152968,"Ferdinand Franz Wallraf Gymnasium, 11, Arnsberger Straße, Buchheim, Mülheim, Köln, Nordrhein-Westfalen, 51065, Deutschland"
2024/25,Grundschule,05315000,Krfr. Stadt Köln,100105,Erzbischöfliche Grundschule am,"Bildungscampus Köln-Kalk, staatl.gen.",priv.Ersatzsch.d.Erzbist.Köln,Neuerburgstr. 19,51103,Köln,Privat,0221,88060208,0221,88048164,100105@schule.nrw.de,155,,50.9361359,7.0054717,"19, Neuerburgstraße, Kalk, Köln, Nordrhein-Westfalen, 51103, Deutschland"
2024/25,Grundschule,05315000,Krfr. Stadt Köln,100113,Gemeinschaftsgrundschule Gaedestrasse,in Köln-Marienburg,,Gaedestr. 31,50968,Köln,Öffentlich,0221,5708050,0221,57080520,100113@schule.nrw.de,95,4,50.8991355,6.9626488,"Grundschule Gaedestraße, 31, Gaedestraße, Marienburg, Rodenkirchen, Köln, Nordrhein-Westfalen, 50968, Deutschland"
2024/25,Grundschule,05315000,Krfr. Stadt Köln,100159,Gem. Grundschule Alfons-Nowak-Straße,,,Alfons-Nowak-Str. 2,50858,Köln,Öffentlich,0221,7161250,0221,71612520,100159@schule.nrw.de,150,3,50.9296895,6.8592185,"GGS Alfons-Nowak-Straße, 2, Alfons-Nowak-Straße, Marsdorf, Junkersdorf, Lindenthal, Köln, Nordrhein-Westfalen, 50858, Deutschland"
2024/25,Grundschule,05315000,Krfr. Stadt Köln,100161,"Offene Grund-Schule Köln, Staatl.gen.",private Ersatzschule als inklusive,Gem.Grundschule d. OSK gGmbH,Sürther Str. 199,50999,Köln,Privat,0221,337703101,,,100161@schule.nrw.de,100,,50.8719796,7.0058594,"Offene Schule Köln, 199, Sürther Straße, Michaelshoven, Rodenkirchen, Köln, Nordrhein-Westfalen, 50999, Deutschland"
2024/25,Grundschule,05315000,Krfr. Stadt Köln,100168,Freie Naturschulen Köln - Grundschule,Staatl.gen.priv. Ersatzs. a. inklusive,Gem.Grundschule d. Vivimos gUG,An der Wachsfabrik 25,50996,Köln,Privat,02236,8846800,,,100168@schule.nrw.de,55,,50.8692505,6.9991827,"25, An der Wachsfabrik, Hahnwald, Rodenkirchen, Köln, Nordrhein-Westfalen, 50996, Deutschland"
2024/25,Grundschule,05315000,Krfr. Stadt Köln,111399,Städt. Gem. Grundschule,Stenzelbergstr.,,Stenzelbergstr. 3-7,50939,Köln,Öffentlich,0221,35501350,0221,355013520,111399@schule.nrw.de,270,2,50.9110914,6.9299752,"Stenzelbergstraße, Klettenberg, Lindenthal, Köln, Nordrhein-Westfalen, 50939, Deutschland"
2024/25,Grundschule,05315000,Krfr. Stadt Köln,111405,Städt. Kath. Grundschule,Gutnickstr.,,Gutnickstr. 37,50769,Köln,Öffentlich,0221,28552660,0221,285526618,111405@schule.nrw.de,240,5,51.0449548,6.8470297,"37, Gutnickstraße, Roggendorf/Thenhoven, Chorweiler, Köln, Nordrhein-Westfalen, 50769, Deutschland"
2024/25,Grundschule,05315000,Krfr. Stadt Köln,111417,Michael-Ende-Schule,Städt. Gem. Grundschule,,Platenstr. 7-9,50825,Köln,Öffentlich,0221,3998030,0221,556576,111417@schule.nrw.de,195,3,50.9532376,6.9137807,"Michael-Ende-Grundschule, 7-9, Platenstraße, Ehrenfeld, Köln, Nordrhein-Westfalen, 50825, Deutschland"
2024/25,Grundschule,05315000,Krfr. Stadt Köln,111429,Stadt Köln,Maternus-Grundschule,Katholische Grundschule - Primarstufe,Bülowstr. 90,50733,Köln,Öffentlich,0221,492249910,0221,492249922,111429@schule.nrw.de,285,3,50.9698831,6.9565799,"Katholische Grundschule Maternus, 90, Bülowstraße, Afrika-Viertel, Nippes, Köln, Nordrhein-Westfalen, 50733, Deutschland"
2024/25,Grundschule,05315000,Krfr. Stadt Köln,111430,Franziskus-Schule,Städt. Kath. Grundschule,- Primarstufe -,Cäsarstr. 21,50968,Köln,Öffentlich,0221,222101410,0221,222101419,111430@schule.nrw.de,185,2,50.9071133,6.9667769,"21, Cäsarstraße, Bayenthal, Rodenkirchen, Köln, Nordrhein-Westfalen, 50968, Deutschland"
2024/25,Grundschule,05315000,Krfr. Stadt Köln,111442,Stadt Köln,Freinet-Schule Köln,Gemeinschaftsgrundschule -Primarstufe-,Gereonswall 57,50670,Köln,Öffentlich,0221,22136010,0221,22136021,111442@schule.nrw.de,180,4,50.9459909,6.9482385,"57, Gereonswall, Gereonsviertel, Altstadt-Nord, Innenstadt, Köln, Nordrhein-Westfalen, 50670, Deutschland"
2024/25,Grundschule,05315000,Krfr. Stadt Köln,111454,Städt. Kath. Grundschule,Diependahlstr.,,Diependahlstr. 12,51061,Köln,Öffentlich,0221,661430,0221,2619227,111454@schule.nrw.de,195,2,50.9869564,6.9871797,"12, Diependahlstraße, Stammheim, Mülheim, Köln, Nordrhein-Westfalen, 51061, Deutschland"
2024/25,Grundschule,05315000,Krfr. Stadt Köln,111466,Städt. Kath. Grundschule,Erlenweg,,Erlenweg 16,50827,Köln,Öffentlich,0221,22252770,0221,222527719,111466@schule.nrw.de,310,5,50.9648693,6.8941284,"16, Erlenweg, Westend, Bickendorf, Ehrenfeld, Köln, Nordrhein-Westfalen, 50827, Deutschland"
2024/25,Grundschule,05315000,Krfr. Stadt Köln,111478,Städt. Kath. Grundschule,Everhardstr.,,Everhardstr. 60,50823,Köln,Öffentlich,0221,95297711,0221,95297719,111478@schule.nrw.de,195,3,50.9493851,6.9288719,"Everhardstraße (KGS), 60, Everhardstraße, Ehrenfeld, Köln, Nordrhein-Westfalen, 50823, Deutschland"
2024/25,Grundschule,05315000,Krfr. Stadt Köln,111480,Hans-Christian-Andersen-Schule,Kath. Grundschule,- Primarstufe -,Freiligrathstr. 60,50935,Köln,Öffentlich,0221,33730880,0221,337308810,111480@schule.nrw.de,180,2,50.92254,6.9024927,"60, Freiligrathstraße, Deckstein, Lindenthal, Köln, Nordrhein-Westfalen, 50935, Deutschland"
2024/25,Grundschule,05315000,Krfr. Stadt Köln,111491,Städt. Kath. Grundschule,Friedlandstr.,,Friedlandstr. 5,51067,Köln,Öffentlich,0221,93889980,0221,938899821,111491@schule.nrw.de,195,5,50.9698739,7.0407781,"5, Friedlandstraße, Holweide, Mülheim, Köln, Nordrhein-Westfalen, 51067, Deutschland"
2024/25,Grundschule,05315000,Krfr. Stadt Köln,111510,Städt. Kath. Grundschule,Fußfallstr.,,Fußfallstr. 55,51109,Köln,Öffentlich,0221,99211090,0221,992110925,111510@schule.nrw.de,485,5,50.9495541,7.045215,"Rettungswache Fußfallstr., 55, Fußfallstraße, Merheim, Kalk, Köln, Nordrhein-Westfalen, 51109, Deutschland"
2024/25,Grundschule,05315000,Krfr. Stadt Köln,111521,Otfried-Preußler-Schule,Städt. Kath. Grundschule,- Primarstufe -,Garthestr. 20-24,50735,Köln,Öffentlich,0221,9765360,0221,97653629,111521@schule.nrw.de,185,4,50.9656175,6.9762611,"Schule Gathestraße / DJK Löwe Köln e.V., 20-24, Garthestraße, Riehl, Nippes, Köln, Nordrhein-Westfalen, 50735, Deutschland"
2024/25,Grundschule,05315000,Krfr. Stadt Köln,111545,Städt. Kath. Grundschule,Gotenring,,Gotenring 5,50679,Köln,Öffentlich,0221,33750030,0221,337500319,111545@schule.nrw.de,185,5,50.9358396,6.9789061,"Städt. Kath. Grundschule Gotenring, 5, Gotenring, Deutz, Innenstadt, Köln, Nordrhein-Westfalen, 50679, Deutschland"
2024/25,Grundschule,05315000,Krfr. Stadt Köln,111557,Städt. Kath. Grundschule,Lebensbaumweg,,Lebensbaumweg 51,50767,Köln,Öffentlich,0221,97942410,0221,97942417,111557@schule.nrw.de,400,3,51.009438,6.90243,"Kath. Grundschule Lebensbaumweg, 51, Lebensbaumweg, Heimersdorf, Chorweiler, Köln, Nordrhein-Westfalen, 50767, Deutschland"
